漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
雁坂嶺,雁坂嶺,,,,山梨県,関東・甲信,,,,,,,,
権現岳,権現岳,,,,山梨県,関東・甲信,,,,,,,,
長者ヶ岳,長者ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
横尾山,横尾山,,,,山梨県,関東・甲信,,,,,,,,
小楢山,小楢山,,,,山梨県,関東・甲信,,,,,,,,
妙見山,妙見山,,,,山梨県,関東・甲信,,,,,,,,
甘利山,甘利山,,,,山梨県,関東・甲信,,,,,,,,
八紘嶺,八紘嶺,,,,山梨県,関東・甲信,,,,,,,,
笊ヶ岳,笊ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
農鳥岳,農鳥岳,,,,山梨県,関東・甲信,,,,,,,,
笹山,笹山,,,,山梨県,関東・甲信,,,,,,,,
大洞山(飛龍山),大洞山(飛龍山),,,,山梨県,関東・甲信,,,,,,,,
鋸岳,鋸岳,,,,山梨県,関東・甲信,,,,,,,,
アサヨ峰,アサヨ峰,,,,山梨県,関東・甲信,,,,,,,,
小太郎山,小太郎山,,,,山梨県,関東・甲信,,,,,,,,
七ツ石山,七ツ石山,,,,山梨県,関東・甲信,,,,,,,,
鶏冠山,鶏冠山,,,,山梨県,関東・甲信,,,,,,,,
笹子雁ヶ腹摺山,笹子雁ヶ腹摺山,,,,山梨県,関東・甲信,,,,,,,,
黒岳,黒岳,,,,山梨県,関東・甲信,,,,,,,,
釈迦ヶ岳,釈迦ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
三方分山,三方分山,,,,山梨県,関東・甲信,,,,,,,,
雁ヶ腹摺山,雁ヶ腹摺山,,,,山梨県,関東・甲信,,,,,,,,
岩殿山,岩殿山,,,,山梨県,関東・甲信,,,,,,,,
籠坂峠,籠坂峠,,,,山梨県,関東・甲信,,,,,,,,
パノラマ台,パノラマ台,,,,山梨県,関東・甲信,,,,,,,,
九鬼山,九鬼山,,,,山梨県,関東・甲信,,,,,,,,
高柄山,高柄山,,,,山梨県,関東・甲信,,,,,,,,
扇山,扇山,,,,山梨県,関東・甲信,,,,,,,,
倉見山,倉見山,,,,山梨県,関東・甲信,,,,,,,,
雨乞岳,雨乞岳,,,,山梨県,関東・甲信,,,,,,,,
高畑山,高畑山,,,,山梨県,関東・甲信,,,,,,,,
倉岳山,倉岳山,,,,山梨県,関東・甲信,,,,,,,,
源氏山,源氏山,,,,山梨県,関東・甲信,,,,,,,,
高谷山,高谷山,,,,山梨県,関東・甲信,,,,,,,,
今倉山,今倉山,,,,山梨県,関東・甲信,,,,,,,,
薬師ヶ岳,薬師ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
朝日岳,朝日岳,,,,山梨県,関東・甲信,,,,,,,,
富士スバルライン(5合目),富士スバルライン(5合目),,,,山梨県,関東・甲信,,,,,,,,
荒倉山,荒倉山,,,,山梨県,関東・甲信,,,,,,,,
甲府幕岩,甲府幕岩,,,,山梨県,関東・甲信,,,,,,,,
甲州高尾山,甲州高尾山,,,,山梨県,関東・甲信,,,,,,,,
馬立山,馬立山,,,,山梨県,関東・甲信,,,,,,,,
御前山,御前山,,,,山梨県,関東・甲信,,,,,,,,
坪山,坪山,,,,山梨県,関東・甲信,,,,,,,,
北奥千丈岳,北奥千丈岳,,,,山梨県,関東・甲信,,,,,,,,
白馬,白馬,,,,長野県,関東・甲信,,,,,,,,
小谷,小谷,,,,長野県,関東・甲信,,,,,,,,
志賀高原,志賀高原,,,,長野県,関東・甲信,,,,,,,,
戸隠高原,戸隠高原,,,,長野県,関東・甲信,,,,,,,,
菅平高原,菅平高原,,,,長野県,関東・甲信,,,,,,,,
上高地,上高地,,,,長野県,関東・甲信,,,,,,,,
乗鞍高原,乗鞍高原,,,,長野県,関東・甲信,,,,,,,,
美ヶ原,美ヶ原,,,,長野県,関東・甲信,,,,,,,,
霧ケ峰,霧ケ峰,,,,長野県,関東・甲信,,,,,,,,
白樺湖,白樺湖,,,,長野県,関東・甲信,,,,,,,,
蓼科,蓼科,,,,長野県,関東・甲信,,,,,,,,
野辺山,野辺山,,,,長野県,関東・甲信,,,,,,,,
御岳高原,御岳高原,,,,長野県,関東・甲信,,,,,,,,
開田高原,開田高原,,,,長野県,関東・甲信,,,,,,,,
駒ヶ根高原,駒ヶ根高原,,,,長野県,関東・甲信,,,,,,,,
高遠,高遠,,,,長野県,関東・甲信,,,,,,,,
しらびそ高原,しらびそ高原,,,,長野県,関東・甲信,,,,,,,,
八ヶ岳,八ヶ岳,,,,長野県,関東・甲信,,,,,,,,
白馬岳,白馬岳,,,,長野県,関東・甲信,,,,,,,,
木曽駒ヶ岳,木曽駒ヶ岳,,,,長野県,関東・甲信,,,,,,,,
岩戸山,岩戸山,,,,長野県,関東・甲信,,,,,,,,
槍ヶ岳,槍ヶ岳,,,,長野県,関東・甲信,,,,,,,,
御嶽山,御嶽山,,,,長野県,関東・甲信,,,,,,,,
高妻山,高妻山,,,,長野県,関東・甲信,,,,,,,,
浅間山,浅間山,,,,長野県,関東・甲信,,,,,,,,
五龍岳,五龍岳,,,,長野県,関東・甲信,,,,,,,,
鹿島槍ヶ岳,鹿島槍ヶ岳,,,,長野県,関東・甲信,,,,,,,,
鷲羽岳,鷲羽岳,,,,長野県,関東・甲信,,,,,,,,
奥穂高岳,奥穂高岳,,,,長野県,関東・甲信,,,,,,,,
北穂高岳,北穂高岳,,,,長野県,関東・甲信,,,,,,,,
前穂高岳,前穂高岳,,,,長野県,関東・甲信,,,,,,,,
常念岳,常念岳,,,,長野県,関東・甲信,,,,,,,,
焼岳,焼岳,,,,長野県,関東・甲信,,,,,,,,
蓼科山,蓼科山,,,,長野県,関東・甲信,,,,,,,,
空木岳,空木岳,,,,長野県,関東・甲信,,,,,,,,
安平路山,安平路山,,,,長野県,関東・甲信,,,,,,,,
仙丈ヶ岳,仙丈ヶ岳,,,,長野県,関東・甲信,,,,,,,,
燕岳,燕岳,,,,長野県,関東・甲信,,,,,,,,
戸隠山,戸隠山,,,,長野県,関東・甲信,,,,,,,,
飯綱山,飯綱山,,,,長野県,関東・甲信,,,,,,,,
黒姫山,黒姫山,,,,長野県,関東・甲信,,,,,,,,
雨飾山,雨飾山,,,,長野県,関東・甲信,,,,,,,,
蝶ヶ岳,蝶ヶ岳,,,,長野県,関東・甲信,,,,,,,,
床浪高原,床浪高原,,,,長野県,関東・甲信,,,,,,,,
北沢峠,北沢峠,,,,長野県,関東・甲信,,,,,,,,
涸沢カール,涸沢カール,,,,長野県,関東・甲信,,,,,,,,
宝剣岳,宝剣岳,,,,長野県,関東・甲信,,,,,,,,
唐松岳,唐松岳,,,,長野県,関東・甲信,,,,,,,,
野口五郎岳,野口五郎岳,,,,長野県,関東・甲信,,,,,,,,
入笠山,入笠山,,,,長野県,関東・甲信,,,,,,,,
天狗岳,天狗岳,,,,長野県,関東・甲信,,,,,,,,
鳥甲山,鳥甲山,,,,長野県,関東・甲信,,,,,,,,
高社山,高社山,,,,長野県,関東・甲信,,,,,,,,
編笠山,編笠山,,,,長野県,関東・甲信,,,,,,,,
大川入山,大川入山,,,,長野県,関東・甲信,,,,,,,,
南木曽岳,南木曽岳,,,,長野県,関東・甲信,,,,,,,,
根子岳,根子岳,,,,長野県,関東・甲信,,,,,,,,
御座山,御座山,,,,長野県,関東・甲信,,,,,,,,
太郎山,太郎山,,,,長野県,関東・甲信,,,,,,,,
北横岳,北横岳,,,,長野県,関東・甲信,,,,,,,,
小秀山,小秀山,,,,長野県,関東・甲信,,,,,,,,
赤岳,赤岳,,,,長野県,関東・甲信,,,,,,,,
斑尾山,斑尾山,,,,長野県,関東・甲信,,,,,,,,
毛無山,毛無山,,,,長野県,関東・甲信,,,,,,,,
念丈岳,念丈岳,,,,長野県,関東・甲信,,,,,,,,
小川山,小川山,,,,長野県,関東・甲信,,,,,,,,
檜尾岳,檜尾岳,,,,長野県,関東・甲信,,,,,,,,
国師ヶ岳 ,国師ヶ岳 ,,,,長野県,関東・甲信,,,,,,,,
大天井岳,大天井岳,,,,長野県,関東・甲信,,,,,,,,
阿弥陀岳,阿弥陀岳,,,,長野県,関東・甲信,,,,,,,,
縞枯山,縞枯山,,,,長野県,関東・甲信,,,,,,,,
小遠見山,小遠見山,,,,長野県,関東・甲信,,,,,,,,
富士見台高原,富士見台高原,,,,長野県,関東・甲信,,,,,,,,
湯ノ丸山,湯ノ丸山,,,,長野県,関東・甲信,,,,,,,,
硫黄岳,硫黄岳,,,,長野県,関東・甲信,,,,,,,,
黒斑山,黒斑山,,,,長野県,関東・甲信,,,,,,,,
ニュウ,ニュウ,,,,長野県,関東・甲信,,,,,,,,
霞沢岳,霞沢岳,,,,長野県,関東・甲信,,,,,,,,
鍋倉山,鍋倉山,,,,長野県,関東・甲信,,,,,,,,
守屋山,守屋山,,,,長野県,関東・甲信,,,,,,,,
乗鞍岳(白馬),乗鞍岳(白馬),,,,長野県,関東・甲信,,,,,,,,
八方尾根,八方尾根,,,,長野県,関東・甲信,,,,,,,,
虫倉山,虫倉山,,,,長野県,関東・甲信,,,,,,,,
横手山,横手山,,,,長野県,関東・甲信,,,,,,,,
餓鬼岳,餓鬼岳,,,,長野県,関東・甲信,,,,,,,,
岳沢,岳沢,,,,長野県,関東・甲信,,,,,,,,
爺ヶ岳,爺ヶ岳,,,,長野県,関東・甲信,,,,,,,,
蓮華岳,蓮華岳,,,,長野県,関東・甲信,,,,,,,,
鳴沢岳,鳴沢岳,,,,長野県,関東・甲信,,,,,,,,
烏帽子岳,烏帽子岳,,,,長野県,関東・甲信,,,,,,,,
有明山,有明山,,,,長野県,関東・甲信,,,,,,,,
三ノ沢岳,三ノ沢岳,,,,長野県,関東・甲信,,,,,,,,
針ノ木岳,針ノ木岳,,,,長野県,関東・甲信,,,,,,,,
七倉岳,七倉岳,,,,長野県,関東・甲信,,,,,,,,
経ヶ岳,経ヶ岳,,,,長野県,関東・甲信,,,,,,,,
横尾山荘,横尾山荘,,,,長野県,関東・甲信,,,,,,,,
徳本峠,徳本峠,,,,長野県,関東・甲信,,,,,,,,
陣馬形山,陣馬形山,,,,長野県,関東・甲信,,,,,,,,
風越山(飯田),風越山(飯田),,,,長野県,関東・甲信,,,,,,,,
霧訪山,霧訪山,,,,長野県,関東・甲信,,,,,,,,
五里ヶ峯,五里ヶ峯,,,,長野県,関東・甲信,,,,,,,,
高ボッチ山,高ボッチ山,,,,長野県,関東・甲信,,,,,,,,
越百山,越百山,,,,長野県,関東・甲信,,,,,,,,
飯盛山,飯盛山,,,,長野県,関東・甲信,,,,,,,,
栂池高原,栂池高原,,,,長野県,関東・甲信,,,,,,,,
根石岳,根石岳,,,,長野県,関東・甲信,,,,,,,,
横岳(八ヶ岳),横岳(八ヶ岳),,,,長野県,関東・甲信,,,,,,,,
麦草峠,麦草峠,,,,長野県,関東・甲信,,,,,,,,
天狗山,天狗山,,,,長野県,関東・甲信,,,,,,,,
東篭ノ登山,東篭ノ登山,,,,長野県,関東・甲信,,,,,,,,
杓子岳,杓子岳,,,,長野県,関東・甲信,,,,,,,,
白馬鑓ヶ岳,白馬鑓ヶ岳,,,,長野県,関東・甲信,,,,,,,,
硫黄岳(八ヶ岳),硫黄岳(八ヶ岳),,,,長野県,関東・甲信,,,,,,,,
池の平湿原,池の平湿原,,,,長野県,関東・甲信,,,,,,,,
峰の原高原,峰の原高原,,,,長野県,関東・甲信,,,,,,,,
車山高原,車山高原,,,,長野県,関東・甲信,,,,,,,,
西岳,西岳,,,,長野県,関東・甲信,,,,,,,,
三笠山,三笠山,,,,長野県,関東・甲信,,,,,,,,
涸沢岳,涸沢岳,,,,長野県,関東・甲信,,,,,,,,
冠着山,冠着山,,,,長野県,関東・甲信,,,,,,,,
岩菅山,岩菅山,,,,長野県,関東・甲信,,,,,,,,
志賀山,志賀山,,,,長野県,関東・甲信,,,,,,,,
傘山(松本),傘山(松本),,,,長野県,関東・甲信,,,,,,,,
傘山（飯島）,傘山（飯島）,,,,長野県,関東・甲信,,,,,,,,
白沢天狗山,白沢天狗山,,,,長野県,関東・甲信,,,,,,,,
独鈷山,独鈷山,,,,長野県,関東・甲信,,,,,,,,
大渚山,大渚山,,,,長野県,関東・甲信,,,,,,,,
茂来山,茂来山,,,,長野県,関東・甲信,,,,,,,,
戸谷峰,戸谷峰,,,,長野県,関東・甲信,,,,,,,,
鍬ノ峰,鍬ノ峰,,,,長野県,関東・甲信,,,,,,,,
奥茶臼山,奥茶臼山,,,,長野県,関東・甲信,,,,,,,,
伊那前岳,伊那前岳,,,,長野県,関東・甲信,,,,,,,,
白鳥,白鳥,,,,岐阜県,東海,,,,,,,,
高鷲,高鷲,,,,岐阜県,東海,,,,,,,,
ひるがの高原,ひるがの高原,,,,岐阜県,東海,,,,,,,,
数河高原,数河高原,,,,岐阜県,東海,,,,,,,,
鈴蘭高原,鈴蘭高原,,,,岐阜県,東海,,,,,,,,
養老,養老,,,,岐阜県,東海,,,,,,,,
揖斐高原,揖斐高原,,,,岐阜県,東海,,,,,,,,
伊吹山ドライブウェイ入り口,伊吹山ドライブウェイ入り口,,,,岐阜県,東海,,,,,,,,
乗鞍岳畳平,乗鞍岳畳平,,,,岐阜県,東海,,,,,,,,
乗鞍岳,乗鞍岳,,,,岐阜県,東海,,,,,,,,
恵那山,恵那山,,,,岐阜県,東海,,,,,,,,
笠ヶ岳,笠ヶ岳,,,,岐阜県,東海,,,,,,,,
西穂高岳,西穂高岳,,,,岐阜県,東海,,,,,,,,
金華山,金華山,,,,岐阜県,東海,,,,,,,,
三ノ峰,三ノ峰,,,,岐阜県,東海,,,,,,,,
双六岳,双六岳,,,,岐阜県,東海,,,,,,,,
大日ケ岳,大日ケ岳,,,,岐阜県,東海,,,,,,,,
蕪山,蕪山,,,,岐阜県,東海,,,,,,,,
籾糠山,籾糠山,,,,岐阜県,東海,,,,,,,,
二ツ森山,二ツ森山,,,,岐阜県,東海,,,,,,,,
福地山,福地山,,,,岐阜県,東海,,,,,,,,
寺地山,寺地山,,,,岐阜県,東海,,,,,,,,
北ノ俣岳,北ノ俣岳,,,,岐阜県,東海,,,,,,,,
稚児山,稚児山,,,,岐阜県,東海,,,,,,,,
人形山,人形山,,,,岐阜県,東海,,,,,,,,
位山,位山,,,,岐阜県,東海,,,,,,,,
下呂御前山,下呂御前山,,,,岐阜県,東海,,,,,,,,
納古山,納古山,,,,岐阜県,東海,,,,,,,,
天蓋山,天蓋山,,,,岐阜県,東海,,,,,,,,
池田山,池田山,,,,岐阜県,東海,,,,,,,,
養老山,養老山,,,,岐阜県,東海,,,,,,,,
舟伏山(本巣市),舟伏山(本巣市),,,,岐阜県,東海,,,,,,,,
白草山,白草山,,,,岐阜県,東海,,,,,,,,
天生湿原,天生湿原,,,,岐阜県,東海,,,,,,,,
弓折岳,弓折岳,,,,岐阜県,東海,,,,,,,,
鏡平,鏡平,,,,岐阜県,東海,,,,,,,,
アカンダナ山,アカンダナ山,,,,岐阜県,東海,,,,,,,,
継子岳,継子岳,,,,岐阜県,東海,,,,,,,,
三周ヶ岳,三周ヶ岳,,,,岐阜県,東海,,,,,,,,
富士山富士宮口５合目,富士山富士宮口５合目,,,,静岡県,東海,,,,,,,,
日本平,日本平,,,,静岡県,東海,,,,,,,,
富士山山頂,富士山山頂,,,,静岡県,東海,,,,,,,,
朝霧高原,朝霧高原,,,,静岡県,東海,,,,,,,,
聖岳,聖岳,,,,静岡県,東海,,,,,,,,
赤石岳,赤石岳,,,,静岡県,東海,,,,,,,,
万三郎岳,万三郎岳,,,,静岡県,東海,,,,,,,,
塩見岳,塩見岳,,,,静岡県,東海,,,,,,,,
東岳(悪沢岳),東岳(悪沢岳),,,,静岡県,東海,,,,,,,,
光岳,光岳,,,,静岡県,東海,,,,,,,,
湖西連峰,湖西連峰,,,,静岡県,東海,,,,,,,,
粟ヶ岳,粟ヶ岳,,,,静岡県,東海,,,,,,,,
富士山御殿場口５合目,富士山御殿場口５合目,,,,静岡県,東海,,,,,,,,
愛鷹山,愛鷹山,,,,静岡県,東海,,,,,,,,
達磨山,達磨山,,,,静岡県,東海,,,,,,,,
香貫山,香貫山,,,,静岡県,東海,,,,,,,,
天城山,天城山,,,,静岡県,東海,,,,,,,,
富士山須走口５合目,富士山須走口５合目,,,,静岡県,東海,,,,,,,,
毛無山,毛無山,,,,静岡県,東海,,,,,,,,
観音山,観音山,,,,静岡県,東海,,,,,,,,
明神峠,明神峠,,,,静岡県,東海,,,,,,,,
大洞山（角取山）,大洞山（角取山）,,,,静岡県,東海,,,,,,,,
岩岳山,岩岳山,,,,静岡県,東海,,,,,,,,
入手山,入手山,,,,静岡県,東海,,,,,,,,
竜馬ケ岳,竜馬ケ岳,,,,静岡県,東海,,,,,,,,
ボンジ山,ボンジ山,,,,静岡県,東海,,,,,,,,
大礼山,大礼山,,,,静岡県,東海,,,,,,,,
朝日岳,朝日岳,,,,静岡県,東海,,,,,,,,
前黒法師岳,前黒法師岳,,,,静岡県,東海,,,,,,,,
沢口山,沢口山,,,,静岡県,東海,,,,,,,,
板取山,板取山,,,,静岡県,東海,,,,,,,,
高塚山,高塚山,,,,静岡県,東海,,,,,,,,
山犬段,山犬段,,,,静岡県,東海,,,,,,,,
黒法師岳,黒法師岳,,,,静岡県,東海,,,,,,,,
麻布山,麻布山,,,,静岡県,東海,,,,,,,,
蕎麦粒山,蕎麦粒山,,,,静岡県,東海,,,,,,,,
賤機山,賤機山,,,,静岡県,東海,,,,,,,,
竜爪山,竜爪山,,,,静岡県,東海,,,,,,,,
久能山,久能山,,,,静岡県,東海,,,,,,,,
越前岳,越前岳,,,,静岡県,東海,,,,,,,,
山伏,山伏,,,,静岡県,東海,,,,,,,,
十国峠,十国峠,,,,静岡県,東海,,,,,,,,
鷲頭山,鷲頭山,,,,静岡県,東海,,,,,,,,
大平山,大平山,,,,静岡県,東海,,,,,,,,
葛城山,葛城山,,,,静岡県,東海,,,,,,,,
秋葉山,秋葉山,,,,静岡県,東海,,,,,,,,
奈良代山,奈良代山,,,,静岡県,東海,,,,,,,,
門桁山,門桁山,,,,静岡県,東海,,,,,,,,
五丁坂頭山,五丁坂頭山,,,,静岡県,東海,,,,,,,,
ゼンモン山,ゼンモン山,,,,静岡県,東海,,,,,,,,
中根山,中根山,,,,静岡県,東海,,,,,,,,
天子ケ岳,天子ケ岳,,,,静岡県,東海,,,,,,,,
足柄峠,足柄峠,,,,静岡県,東海,,,,,,,,
京丸山,京丸山,,,,静岡県,東海,,,,,,,,
御殿山,御殿山,,,,静岡県,東海,,,,,,,,
小笠山,小笠山,,,,静岡県,東海,,,,,,,,
神尾山,神尾山,,,,静岡県,東海,,,,,,,,
経塚山,経塚山,,,,静岡県,東海,,,,,,,,
大室山,大室山,,,,静岡県,東海,,,,,,,,
小室山,小室山,,,,静岡県,東海,,,,,,,,
亀石峠,亀石峠,,,,静岡県,東海,,,,,,,,
青崩峠,青崩峠,,,,静岡県,東海,,,,,,,,
山住峠,山住峠,,,,静岡県,東海,,,,,,,,
竜頭山,竜頭山,,,,静岡県,東海,,,,,,,,
常光寺山,常光寺山,,,,静岡県,東海,,,,,,,,
大無間山,大無間山,,,,静岡県,東海,,,,,,,,
高通山,高通山,,,,静岡県,東海,,,,,,,,
末広山,末広山,,,,静岡県,東海,,,,,,,,
丸盆岳,丸盆岳,,,,静岡県,東海,,,,,,,,
兵越峠,兵越峠,,,,静岡県,東海,,,,,,,,
宝永山,宝永山,,,,静岡県,東海,,,,,,,,
仁科峠,仁科峠,,,,静岡県,東海,,,,,,,,
戸田峠,戸田峠,,,,静岡県,東海,,,,,,,,
茶臼岳,茶臼岳,,,,静岡県,東海,,,,,,,,
鳳来寺山,鳳来寺山,,,,愛知県,東海,,,,,,,,
茶臼山高原,茶臼山高原,,,,愛知県,東海,,,,,,,,
香嵐渓,香嵐渓,,,,愛知県,東海,,,,,,,,
赤塚山,赤塚山,,,,愛知県,東海,,,,,,,,
岩屋山,岩屋山,,,,愛知県,東海,,,,,,,,
石巻山,石巻山,,,,愛知県,東海,,,,,,,,
赤岩山,赤岩山,,,,愛知県,東海,,,,,,,,
旭高原,旭高原,,,,愛知県,東海,,,,,,,,
蔵王山,蔵王山,,,,愛知県,東海,,,,,,,,
宮路山,宮路山,,,,愛知県,東海,,,,,,,,
猿投山,猿投山,,,,愛知県,東海,,,,,,,,
本宮山,本宮山,,,,愛知県,東海,,,,,,,,
明神山,明神山,,,,愛知県,東海,,,,,,,,
明神山（三ツ瀬）,明神山（三ツ瀬）,,,,愛知県,東海,,,,,,,,
寧比曽岳,寧比曽岳,,,,愛知県,東海,,,,,,,,
岩巣山,岩巣山,,,,愛知県,東海,,,,,,,,
鷹ノ巣山（段戸山）,鷹ノ巣山（段戸山）,,,,愛知県,東海,,,,,,,,
御在所岳,御在所岳,,,, 三重県,東海,,,,,,,,
藤原岳,藤原岳,,,, 三重県,東海,,,,,,,,
釈迦ヶ岳,釈迦ヶ岳,,,, 三重県,東海,,,,,,,,
入道ヶ岳,入道ヶ岳,,,, 三重県,東海,,,,,,,,
竜ヶ岳,竜ヶ岳,,,, 三重県,東海,,,,,,,,
多度山,多度山,,,, 三重県,東海,,,,,,,,
鎌ヶ岳,鎌ヶ岳,,,, 三重県,東海,,,,,,,,
朝熊ヶ岳,朝熊ヶ岳,,,, 三重県,東海,,,,,,,,
迷岳,迷岳,,,, 三重県,東海,,,,,,,,
赤目の峡谷,赤目の峡谷,,,, 三重県,東海,,,,,,,,
錫杖ヶ岳,錫杖ヶ岳,,,, 三重県,東海,,,,,,,,
堀坂山,堀坂山,,,, 三重県,東海,,,,,,,,
雲母峰,雲母峰,,,, 三重県,東海,,,,,,,,
宮指路岳,宮指路岳,,,, 三重県,東海,,,,,,,,
経ヶ峰,経ヶ峰,,,, 三重県,東海,,,,,,,,
天狗倉山,天狗倉山,,,, 三重県,東海,,,,,,,,
髻山,髻山,,,, 三重県,東海,,,,,,,,
伊吹山,伊吹山,,,,滋賀県,近畿,,,,,,,,
信楽,信楽,,,,滋賀県,近畿,,,,,,,,
蓬莱山,蓬莱山,,,,滋賀県,近畿,,,,,,,,
武奈ヶ岳(比良山),武奈ヶ岳(比良山),,,,滋賀県,近畿,,,,,,,,
マキノ高原,マキノ高原,,,,滋賀県,近畿,,,,,,,,
賤ヶ岳,賤ヶ岳,,,,滋賀県,近畿,,,,,,,,
金勝山(竜王山),金勝山(竜王山),,,,滋賀県,近畿,,,,,,,,
三上山,三上山,,,,滋賀県,近畿,,,,,,,,
雨乞岳,雨乞岳,,,,滋賀県,近畿,,,,,,,,
霊仙山,霊仙山,,,,滋賀県,近畿,,,,,,,,
御池岳,御池岳,,,,滋賀県,近畿,,,,,,,,
八ツ尾山,八ツ尾山,,,,滋賀県,近畿,,,,,,,,
蛇谷ケ峰,蛇谷ケ峰,,,,滋賀県,近畿,,,,,,,,
赤坂山,赤坂山,,,,滋賀県,近畿,,,,,,,,
綿向山,綿向山,,,,滋賀県,近畿,,,,,,,,
びわ湖バレイ,びわ湖バレイ,,,,滋賀県,近畿,,,,,,,,
仙ケ岳,仙ケ岳,,,,滋賀県,近畿,,,,,,,,
金糞岳,金糞岳,,,,滋賀県,近畿,,,,,,,,
嵐山,嵐山,,,,京都府,近畿,,,,,,,,
比叡山,比叡山,,,,京都府,近畿,,,,,,,,
大文字山,大文字山,,,,京都府,近畿,,,,,,,,
愛宕山,愛宕山,,,,京都府,近畿,,,,,,,,
大江山,大江山,,,,京都府,近畿,,,,,,,,
天王山,天王山,,,,京都府,近畿,,,,,,,,
音羽山,音羽山,,,,京都府,近畿,,,,,,,,
皆子山,皆子山,,,,京都府,近畿,,,,,,,,
高竜寺ガ岳,高竜寺ガ岳,,,,京都府,近畿,,,,,,,,
天ヶ岳,天ヶ岳,,,,京都府,近畿,,,,,,,,
長老ヶ岳,長老ヶ岳,,,,京都府,近畿,,,,,,,,
金剛山,金剛山,,,,大阪府,近畿,,,,,,,,
生駒山,生駒山,,,,大阪府,近畿,,,,,,,,
箕面,箕面,,,,大阪府,近畿,,,,,,,,
ポンポン山,ポンポン山,,,,大阪府,近畿,,,,,,,,
岩湧山,岩湧山,,,,大阪府,近畿,,,,,,,,
竜王山,竜王山,,,,大阪府,近畿,,,,,,,,
爼石山,爼石山,,,,大阪府,近畿,,,,,,,,
和泉葛城山,和泉葛城山,,,,大阪府,近畿,,,,,,,,
剣尾山,剣尾山,,,,大阪府,近畿,,,,,,,,
高森山,高森山,,,,大阪府,近畿,,,,,,,,
能勢妙見山,能勢妙見山,,,,大阪府,近畿,,,,,,,,
槇尾山,槇尾山,,,,大阪府,近畿,,,,,,,,
天保山,天保山,,,,大阪府,近畿,,,,,,,,
六甲山,六甲山,,,,兵庫県,近畿,,,,,,,,
神鍋高原,神鍋高原,,,,兵庫県,近畿,,,,,,,,
ハチ高原,ハチ高原,,,,兵庫県,近畿,,,,,,,,
氷ノ山,氷ノ山,,,,兵庫県,近畿,,,,,,,,
鉢伏山(神戸市),鉢伏山(神戸市),,,,兵庫県,近畿,,,,,,,,
笠形山,笠形山,,,,兵庫県,近畿,,,,,,,,
千ヶ峰,千ヶ峰,,,,兵庫県,近畿,,,,,,,,
旗振山,旗振山,,,,兵庫県,近畿,,,,,,,,
摩耶山,摩耶山,,,,兵庫県,近畿,,,,,,,,
丹生山,丹生山,,,,兵庫県,近畿,,,,,,,,
高御位山,高御位山,,,,兵庫県,近畿,,,,,,,,
雪彦山,雪彦山,,,,兵庫県,近畿,,,,,,,,
蘇武岳,蘇武岳,,,,兵庫県,近畿,,,,,,,,
高取山,高取山,,,,兵庫県,近畿,,,,,,,,
雄岡山,雄岡山,,,,兵庫県,近畿,,,,,,,,
雌岡山,雌岡山,,,,兵庫県,近畿,,,,,,,,
来日岳,来日岳,,,,兵庫県,近畿,,,,,,,,
三嶽,三嶽,,,,兵庫県,近畿,,,,,,,,
小金ガ岳,小金ガ岳,,,,兵庫県,近畿,,,,,,,,
東床尾山,東床尾山,,,,兵庫県,近畿,,,,,,,,
日名倉山,日名倉山,,,,兵庫県,近畿,,,,,,,,
三室山,三室山,,,,兵庫県,近畿,,,,,,,,
五台山,五台山,,,,兵庫県,近畿,,,,,,,,
白髪岳,白髪岳,,,,兵庫県,近畿,,,,,,,,
諭鶴羽山,諭鶴羽山,,,,兵庫県,近畿,,,,,,,,
鏑射山,鏑射山,,,,兵庫県,近畿,,,,,,,,
菊水山,菊水山,,,,兵庫県,近畿,,,,,,,,
再度山,再度山,,,,兵庫県,近畿,,,,,,,,
段ヶ峰,段ヶ峰,,,,兵庫県,近畿,,,,,,,,
吉野山,吉野山,,,,奈良県,近畿,,,,,,,,
生駒山,生駒山,,,,奈良県,近畿,,,,,,,,
大台ケ原,大台ケ原,,,,奈良県,近畿,,,,,,,,
八経ヶ岳,八経ヶ岳,,,,奈良県,近畿,,,,,,,,
高見山,高見山,,,,奈良県,近畿,,,,,,,,
大普賢岳,大普賢岳,,,,奈良県,近畿,,,,,,,,
大和葛城山,大和葛城山,,,,奈良県,近畿,,,,,,,,
三峰山,三峰山,,,,奈良県,近畿,,,,,,,,
大峰山(山上ヶ岳),大峰山(山上ヶ岳),,,,奈良県,近畿,,,,,,,,
曽爾高原,曽爾高原,,,,奈良県,近畿,,,,,,,,
稲村ヶ岳,稲村ヶ岳,,,,奈良県,近畿,,,,,,,,
信貴山,信貴山,,,,奈良県,近畿,,,,,,,,
池木屋山,池木屋山,,,,奈良県,近畿,,,,,,,,
竜門岳,竜門岳,,,,奈良県,近畿,,,,,,,,
鎧岳,鎧岳,,,,奈良県,近畿,,,,,,,,
兜岳,兜岳,,,,奈良県,近畿,,,,,,,,
