漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
三段山,三段山　　北海道,さんだんやま,Sandanyama,1748 ,北海道,北海道,43.4152438,142.6654273,上富良野町,,,,,
大黒山,大黒山　　北海道,だいこくやま,Daikouyama,725 ,北海道,北海道,43.1062347,140.7764929,仁木町,,,,,
浦臼山,浦臼山　　北海道,うらうすやま,Urausuyama,718 ,北海道,北海道,43.4668029,141.7622106,浦臼町,,,,,
目国内岳,目国内岳　　北海道,めくんないだけ,Mekunnaidake,1220 ,北海道,北海道,42.8997628,140.5153667,蘭越町,,,,,
長万部岳,長万部岳　　北海道,おしゃまんべだけ,Osyamanbedake,973 ,北海道,北海道,42.5874279,140.1896515,今金町,,,,,
チトカニウシ山,チトカニウシ山　　北海道,ちとかにうしやま,Chitokaniusiyama,1446 ,北海道,北海道,43.9068241,143.0485356,遠軽町,,,,,
北鎮岳,北鎮岳　　北海道,ほくちんだけ,Hokuchindake,2244 ,北海道,北海道,43.6928347,142.8798716,東川町,,,,,
緑岳,緑岳　　北海道,みどりだけ,Midoridak,2020 ,北海道,北海道,43.6504058,142.9203361,上川町,,,,,
忠別岳,忠別岳　　北海道,ちゅうべつだけ,Chubetsudake,1963 ,北海道,北海道,43.5914732,142.8945789,上川町,,,,,
ウペペサンケ山,ウペペサンケ山　　北海道,うぺぺさんけやま,Upepesankeyama,1848 ,北海道,北海道,43.3895038,143.0811174,上士幌町,,,,,
仁頃山,仁頃山　　北海道,にころやま,Nikoroyama,829 ,北海道,北海道,43.8783039,143.7183818,佐呂間町,,,,,
アトサヌプリ(硫黄山),アトサヌプリ(硫黄山)　　北海道,あとさぬぷり（いおうやま）,Asatonupuri (Iouyama),508 ,北海道,北海道,43.6101937,144.4385953,弟子屈町,,,,,
知床硫黄山,知床硫黄山　　北海道,しれとこいおうざん,Shiretokoiouzan,1562 ,北海道,北海道,44.1332289,145.1615411,斜里町,,,,,
エサオマントッタベツ岳,エサオマントッタベツ岳　　北海道,えさおまんとったべつだけ,Esaomantotabetsudake,1902 ,北海道,北海道,42.6892761,142.7578809,新冠町,,,,,
富良野西岳,富良野西岳　　北海道,ふらのにしだけ,Furanonishidake,1331 ,北海道,北海道,43.3092273,142.3114991,富良野市,,,,,
シャクナゲ岳,シャクナゲ岳　　北海道,しゃくなげだけ,Syakunagedake,1074 ,北海道,北海道,42.8888263,140.577228,蘭越町,,,,,
